,newold,stock,sleeps,length,price,location,horsepower
0,Used,Stock # 2113711,4,42 ft 6 in,88999.0,"Sherman, TX",
1,Used,Stock # 2081356,-,35 ft 0 in,50999.0,"Katy, TX",
2,Used,Stock # 2178973,2,25 ft 0 in,59999.0,"Center Conway, NH",
3,Used,Stock # 2204010,4,25 ft 0 in,61999.0,"Lubbock, TX",
4,Used,Stock # 2193644,5,29 ft 10 in,64699.0,"Thornburg, VA",
5,Used,Stock # 2087056P,5,24 ft 11 in,64999.0,"Saukville, WI",
6,Used,Stock # 2203479P,3,24 ft 0 in,69499.0,"Hamburg, NY",
7,Used,Stock # 2160891,5,24 ft 10 in,69999.0,"Dover, FL",
8,Used,Stock # 2183465,5,24 ft 11 in,69999.0,"Chattanooga, TN",
9,Used,Stock # 2196026,5,24 ft 8 in,69999.0,"Burlington, WA",
10,Used,Stock # 2205556,5,25 ft 0 in,69985.0,"Lowell, AR",
11,Used,Stock # 2160719,-,25 ft 2 in,69999.0,"Kenosha, WI",
12,Used,Stock # 2161364P,-,33 ft 0 in,69999.0,"Wood Village, OR",
13,Used,Stock # 2180282P,5,35 ft 0 in,70999.0,"Wauconda, IL",
14,Used,Stock # 2183054,6,25 ft 5 in,71099.0,"Louisville, TN",
15,Used,Stock # 2129754,3,24 ft 9 in,71999.0,"Strafford, MO",
16,Used,Stock # 2192578,4,24 ft 0 in,74499.0,"Kingston, NY",
17,Used,Stock # 2066506,2,24 ft 11 in,75999.0,"Ridgeland, SC",
18,Used,Stock # 2201436,5,24 ft 11 in,76799.0,"Hope Mills, NC",
19,Used,Stock # 2184183P,4,23 ft 6 in,76499.0,"Tyler, TX",
20,Used,Stock # 2191745,4,24 ft 0 in,76999.0,"Ridgeland, SC",
21,Used,Stock # 3000176P,4,23 ft 6 in,77499.0,"Georgetown, KY",
22,Used,Stock # 2183267P,4,23 ft 6 in,77999.0,"Camping World of Reno -
                                Reno, NV",
23,Used,Stock # 2191816,5,24 ft 11 in,77999.0,"Camping World of Marion -
                                Marion, NC",
24,Used,Stock # 2138661P,6,24 ft 8 in,77999.0,"Uxbridge, MA",
25,Used,Stock # 2208241P,4,23 ft 6 in,78699.0,"Myrtle Beach, SC",
26,Used,Stock # 2167886P,5,25 ft 0 in,78999.0,"Camping World of Reno -
                                Reno, NV",
27,Used,Stock # 2177326,5,24 ft 8 in,78999.0,"Gulf Breeze, FL",
28,Used,Stock # 2182062,5,24 ft 11 in,78999.0,"Bartow, FL",
29,Used,Stock # 2169778,4,23 ft 6 in,79499.0,"Columbia, SC",
